,,place,player,points,#,wrld,ic_30,ic_31,ic_32,ic_33,im_27,im_28,im_29,im_30,rl_05,rl_06,rl_07,rl_08,wmbl,aus,sl,ml,eif,qd
,,965,Gustavus_Adolphus,80,1,80,,,,,,,,,,,,,,,,,,
,,965,Stedam,80,1,80,,,,,,,,,,,,,,,,,,
,,965,KMMAL,80,3,,,,20,22,,,,,,,38,,,,,,,
,,1019,Suddoman,79,5,,23,20,6,20,,,,,,,,,,10,,,,
,,1020,Jocik,78,3,55,,,,,,,,,17,6,,,,,,,,
,,1020,Abuceb,78,3,55,3,,,,,,,,,,,,,,,,20,
,,1020,NovusIgnis,78,4,20,1,,,,30,,27,,,,,,,,,,,
,,1020,condemor,78,2,,,,,,,,,30,,,,48,,,,,,
,,1024,FabioBE81,77,6,55,1,,,,6,5,5,5,,,,,,,,,,
,,1025,Conzi,76,3,,,,,6,,,,,,,38,32,,,,,,
,,1026,Noash,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,FooledTwice,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Andrew_Davidson,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,maffoffo,75,2,65,,,,,,,,,,,,,,10,,,,
,,1026,GrafZahl,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Draculade,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Etherealz,75,2,65,,,,,,,,,,,,,,10,,,,
,,1026,Xsn,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Olivier000,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Bulb,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,dim,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,KapitanTom,75,2,65,,,,,,,,,,,,,,10,,,,
,,1026,dannymcbride,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Oso,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Sonalator,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Paracelso,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Klakla92th,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Levia,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Arinmir,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Bromios,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,kwojtasz,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,dulbbong,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Zathio,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,NapoleonB,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,florian629,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Midyat,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,samgreco,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Bravo,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,traskmania,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Tuisku,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Oranim,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Kestutelis,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,erlikhan,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,TheCenturion,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Repick,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,PhamNuwen,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Aardwolf44,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Azerbaperro,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,honne,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,HeM99,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Rgjensen,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Kermitoos,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Opi,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,HerrBu,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,colepiechotta,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,cardboard,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,LinhVu,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,BillyPilgrim,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,thegruffalo,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,JJsDad,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Chroso,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Prince2B,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,ouTlier,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,deandedean,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,DDD_D,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Olympia,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,J0hnny_Utah7,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Smilzo,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Voras,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Zero_1627,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Raasay,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Kunizial,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,DPRK,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,CainsAngel,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,rofler31337,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,ekatar,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Warpfield,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,A-Raw,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,rizor,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,18544415,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Devran,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,Perrary,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,quartersmostly,75,1,75,,,,,,,,,,,,,,,,,,
,,1026,kevinsbane,75,1,,,,,,,,,,,,,75,,,,,,
,,1100,saiggo16,74,4,,,,,,,,6,12,,,28,28,,,,,,
,,1101,kzzzzzz_watch,73,2,,,,,,,,,,,,38,35,,,,,,
,,1102,thomas.h.hoff,71,4,55,,,,,5,,5,6,,,,,,,,,,
,,1102,jjk,71,2,,,,,,,,,,,,32,39,,,,,,
,,1104,ThomasM,70,4,,20,22,6,22,,,,,,,,,,,,,,
,,1104,Stefan665,70,3,20,,,,20,,,,30,,,,,,,,,,
,,1104,FrenkDeTank,70,3,,,,,27,,,,30,,,,13,,,,,,
,,1107,tiagosilva,68,3,20,22,26,,,,,,,,,,,,,,,,
,,1108,BerdBlond,66,3,45,,,,,,,,,,,,,,10,,,11,
,,1108,Romulus07,66,3,55,,,,,,5,6,,,,,,,,,,,
,,1108,mc_esher,66,2,,,,,46,,,20,,,,,,,,,,,
,,1111,Ayakonutty,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,Schedar,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,HansBugge,65,2,55,,,,,,,,,,,,,,10,,,,
,,1111,wahrlator,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,Buiz,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,Moxielle,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,Korsus,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,Atomtomate,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,itsPG,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,sausagesky,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,Amarok,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,salvor7,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,Mirceamsc1,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,Tenebrane,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,Ankaru,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,RobinTheDragon,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,mikey1nt,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,BlueCardinal,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,monsieurt,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,RAKoS,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,Brumkalinka,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,MareTheEnlightened,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,Qirgi,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,babaganoosh,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,MikeLowrey,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,SirHorse,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,rem_Abaddon,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,MadNut86,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,pootify,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,Kuti,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,S.C.U.D.,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,Madivar,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,Scotty4s,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,footjoy39,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,Eduard69,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,Kirian,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,Raffaelus,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,Wyszek,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,PatPunisher,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,Keyadoria,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,mobeza,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,Dariusz,65,1,65,,,,,,,,,,,,,,,,,,
,,1111,JimBryan,65,1,65,,,,,,,,,,,,,,,,,,
,,1154,Izayoi,63,3,,,,,,,,30,27,,,,6,,,,,,
,,1155,Micha501,61,2,55,,,,,,,,6,,,,,,,,,,
,,1156,GZ95,60,2,,,,,,,,,,,,,,,,53,7,,
,,1157,Ilyanep,59,4,,6,20,10,23,,,,,,,,,,,,,,
,,1158,HumusAmongUs,58,3,,,,,,,,12,35,,,,11,,,,,,
,,1158,Graypilgrim,58,2,,,,,,,,,20,,,,38,,,,,,
,,1160,jasondh10,57,4,,22,,,,5,,,,20,,,,,10,,,,
,,1160,Muttley444,57,2,,,,,,,,30,27,,,,,,,,,,
,,1160,Lenni010,57,2,,,,,,,,30,27,,,,,,,,,,
,,1160,MysteriousWizard,57,2,,,,,27,,,,30,,,,,,,,,,
,,1164,Nevadar,56,4,,23,,,,6,,,,17,,,,,10,,,,
,,1164,Less5,56,7,45,1,1,1,,,5,,,2,1,,,,,,,,
,,1164,Saerleon,56,1,,,,,,,,,56,,,,,,,,,,
,,1167,EKogon,55,3,,20,15,20,,,,,,,,,,,,,,,
,,1167,ctcheung,55,2,45,,,,,,,,,,,,,,10,,,,
,,1167,tongtong,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,TaoTeo,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,gwfalcon,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Bora_Horsa_Gobuchul,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Bruce.Twarze,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Nomade,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,olawaco,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,opk,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Der_Imperator,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,BlackSmyth,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,PeskyGekko,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,kwerra,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Devonia,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Marchely,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Sabastapul,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Paajosh,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,O.K.,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Friedthelt,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Serrapac,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Dolling,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Lohmann,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Trek,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Leonidas33,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Chenese,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Kecso,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,kackajoni,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,stanze,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,PortugueseBandit,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,maurice986,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,hsss,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Zielonus,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,GreatKingRat78,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,alban,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Warstoryteller,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Donkeroo,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Gramadancho,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,BadEagle,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,mkuz18,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Mighke,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Jbob2626,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,jes-terday,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Wing,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,CharlieFish,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Minkus,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Patelavache,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Broens,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,Execut0r,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,LordMichaelDerGrosse,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,OM_Para,55,1,55,,,,,,,,,,,,,,,,,,
,,1167,janbandit,55,1,55,,,,,,,,,,,,,,,,,,
,,1219,alcardonac,54,2,,26,,,,,,,,28,,,,,,,,,
,,1220,McLovinsBlueberry,52,1,,52,,,,,,,,,,,,,,,,,
,,1220,RiteInUrEye,52,1,,,,,,,,,,,,,52,,,,,,
,,1222,Batallon,50,3,20,,,,,,,,,20,,,,,10,,,,
,,1222,SpillisWillis,50,2,45,,,,,5,,,,,,,,,,,,,
,,1222,xYotsuba,50,2,,,,,20,,,,30,,,,,,,,,,
,,1225,trojanrabbit,49,3,,6,23,20,,,,,,,,,,,,,,,
,,1226,ZwzwNzw,48,1,,,,,,,,,,48,,,,,,,,,
,,1226,mria,48,1,,,,,,,,,,,,48,,,,,,,
,,1226,docpain,48,2,,,,,,,,,20,,,,28,,,,,,
,,1226,cyb3k,48,1,,,,,,,,,,,,,48,,,,,,
,,1230,Balan,45,2,,20,,,,,,,,,,,,25,,,,,
,,1230,FuManchu,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,kivirowei,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Biggi86,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Tietzsche,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,gusanitocruz,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Monty1979,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,marcusesses1,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Rossonerix10x,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Raphi,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,IngussTT,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,nge,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,szyszuniawiesz,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Jacko65,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Kazan,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Vlasy,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,lzhon002,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,schumaky,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Holtykins,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Xela1988,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Oyvind,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Jakuu,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Shalif,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,toptheworld,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,But,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,SCN,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,monorator,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,pjorge,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,sjgardner3,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,TwoFold,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Hengoroth,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Vaibhavaiyar,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,DonStealth,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,KingPerun,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Igrokratiya,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,SolPanda,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,SwedishFish,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,lengesses,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,SunTiger,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,JonJayJanyJanzn,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Gigot,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,reddog,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Proximo,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Gelsomiina,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,NicolasJavier,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,KaiMorten,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,kemal,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,cord_red,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,SpectralB4dger,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,qman,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,DrunkenPete,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Castanicus,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,ElArchitekto,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Apriori1,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,tbrofromspace,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,BlueJay,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,SunGodREI,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Dipac,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Ranger,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Malekith,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Durpan,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Axius9,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Alain23,45,1,45,,,,,,,,,,,,,,,,,,
,,1230,Impr,45,4,,,,,,,12,6,12,,,,15,,,,,,
,,1230,Akametsu,45,2,,,,,15,,,,30,,,,,,,,,,
,,1295,wolfcub41,44,2,,,,,,,,,12,,,,32,,,,,,
,,1296,SerBaldur,43,4,,,,,,27,6,5,,,,,,,,,,5,
,,1296,LordTheodore,43,2,,,,,,,,,30,,,,13,,,,,,
,,1298,Tyristan,42,2,,,,,,,,30,12,,,,,,,,,,
,,1298,Silmegil,42,2,,,,,,,,12,30,,,,,,,,,,
,,1300,MajorGaz,41,2,,,,,,,,,,,,22,19,,,,,,
,,1300,jdtyler7,41,3,,,,,10,,,,20,,,,11,,,,,,
,,1302,jaggl,40,1,,,,,,,,,,,,,,,40,,,,
,,1302,PandaJJ,40,1,,,,,,,,,,,,,,,40,,,,
,,1302,yangziduan,40,1,,,,,,,,,,,,,,,40,,,,
,,1302,stshow123,40,2,,,15,,,,,,,,25,,,,,,,,
,,1306,omoi,39,2,,,,,,,,,,,,20,19,,,,,,
,,1307,RDavy,38,1,,,,,,,,,,,,38,,,,,,,
,,1307,Glamdring,38,4,20,,,,6,,,6,6,,,,,,,,,,
,,1307,SafeT,38,1,,,,,,,,,,,,,38,,,,,,
,,1307,Caveman90,38,1,,,,,,,,,,,,,38,,,,,,
,,1307,KidCanuck,38,1,,,,,,,,,,,,,38,,,,,,
,,1307,xy-y,38,1,,,,,,,,,,,,,38,,,,,,
,,1313,Zazabuzao,37,2,,15,22,,,,,,,,,,,,,,,,
,,1314,Seabrook,36,4,20,3,3,,,,,,,,,,,,10,,,,
,,1315,Scottrick,33,1,,,,,,,,,,,,,,,,,33,,
,,1315,amadeo,33,2,,,,,27,,,,,,,,6,,,,,,
,,1317,GWItheUltimate,32,2,20,,,,,,12,,,,,,,,,,,,
,,1317,Sr-Manteca,32,2,,,,,,,,12,20,,,,,,,,,,
,,1317,PunchHorse,32,2,,,,,,,,12,20,,,,,,,,,,
,,1317,SirDaan,32,1,,,,,,,,,,,,,32,,,,,,
,,1317,Pavnco,32,1,,,,,,,,,,,,,32,,,,,,
,,1322,Megatron,30,1,,,,,,30,,,,,,,,,,,,,
,,1322,Rius,30,1,,,,,,,,30,,,,,,,,,,,
,,1322,LMB,30,2,,,,10,20,,,,,,,,,,,,,,
,,1322,Spudman,30,1,,,,,,,,,30,,,,,,,,,,
,,1322,Maxxxx,30,1,,,,,,,,,30,,,,,,,,,,
,,1322,scaggi,30,1,,,,,,,,,30,,,,,,,,,,
,,1328,wheelerruss,28,3,20,3,,,,5,,,,,,,,,,,,,
,,1328,Clarinachos,28,5,20,3,1,1,3,,,,,,,,,,,,,,
,,1328,LottiePreston,28,1,,,,,,,,,,,,28,,,,,,,
,,1328,ZHULIN,28,1,,,,,,,,,,,,28,,,,,,,
,,1328,saZmer,28,1,,,,,,,,,,,,,28,,,,,,
,,1328,tue2k,28,1,,,,,,,,,,,,,28,,,,,,
,,1328,Sirkopczyk,28,1,,,,,,,,,,,,,28,,,,,,
,,1335,Dani91,27,1,,,,,,27,,,,,,,,,,,,,
,,1335,araknid,27,1,,,,,,27,,,,,,,,,,,,,
,,1335,PontiusPilatus,27,1,,,27,,,,,,,,,,,,,,,,
,,1335,Paolol65,27,1,,,27,,,,,,,,,,,,,,,,
,,1335,buso1705,27,3,,,,,10,,,12,5,,,,,,,,,,
,,1340,grace,26,1,,26,,,,,,,,,,,,,,,,,
,,1340,Nymphaea,26,2,,6,20,,,,,,,,,,,,,,,,
,,1340,prozio,26,2,20,,,,,,,,6,,,,,,,,,,
,,1343,Bigsbyben,25,1,,,,,,,,,,,,,25,,,,,,
,,1344,Rickanchamun,24,4,,,,,,6,6,6,6,,,,,,,,,,
,,1345,jandaron,23,2,20,,3,,,,,,,,,,,,,,,,
,,1345,Krzolek,23,3,,,,,,,12,5,6,,,,,,,,,,
,,1347,Ms.QTPi,22,1,,,,,,,,,,22,,,,,,,,,
,,1347,Macin,22,2,,20,,,,,,,,2,,,,,,,,,
,,1347,T.KAZ3-1,22,1,,,,22,,,,,,,,,,,,,,,
,,1347,Rubberchicken,22,1,,,,,,,,,,,,22,,,,,,,
,,1347,moigaren,22,4,,,,,,6,5,6,5,,,,,,,,,,
,,1352,Frank92,21,2,,10,,,,,,,,,11,,,,,,,,
,,1353,bzburnin,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,FSY,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,weed14,20,1,,20,,,,,,,,,,,,,,,,,
,,1353,CuteAnn,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,Thyrus,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,Caracalla,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,Saish,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,betweenworlds,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,FabioMP,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,lavasija,20,1,,,,,,20,,,,,,,,,,,,,
,,1353,filgonfin,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,Traumatan,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,KindFortress,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,noobgo,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,Kvist,20,1,,,,,,20,,,,,,,,,,,,,
,,1353,matti5215,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,Puren94,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,BlaueElise,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,Melingsguten,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,cultro,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,rstrack,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,Msandry,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,MATADORDELMAR,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,mariyka,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,deleted_user_9275835,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,SPEEDOWAGON,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,TuZhao,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,Titiman,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,OffDutyDad,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,thebigcheese,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,PennyOrange,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,Kradmesor,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,GAM3NURD,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,denwiller,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,szesophie,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,pepinecko,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,Monken,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,Gervais,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,Tapio,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,KingMomo,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,Jusaz,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,Rasti,20,1,,,,,,,20,,,,,,,,,,,,
,,1353,JackoKun,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,Levente1989,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,Decontest,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,madmanmatt666,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,Orissai,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,jimlaughs64,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,Goatonhillside,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,srfdevotee,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,Danilo0h,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,HolyOne,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,Beewiz,20,1,20,,,,,,,,,,,,,,,,,,
,,1353,Majunior,20,1,20,,,,,,,,,,,,,,,,,,
