,,place,player,points,#,wrld,ic_30,ic_31,ic_32,ic_33,im_27,im_28,im_29,im_30,rl_05,rl_06,rl_07,rl_08,wmbl,aus,sl,ml,eif,qd
,,148,Qiubag,821,11,390,47,52,47,,64,49,,,82,80,,,10,40,,,57,
,,148,virvett,821,13,20,69,47,47,43,49,56,55,56,130,150,190,115,,,,,,
,,150,fathope,814,16,115,85,85,75,69,102,100,102,115,70,44,95,100,25,,9,,70,
,,151,CrownKiller,813,11,210,,,,,,,56,102,70,55,95,90,10,,61,73,112,
,,152,Kor,811,12,260,,27,69,47,56,55,56,,,95,70,44,150,,14,,,
,,153,RutgerHauer,810,2,470,,,,,,,,,,,,,,,,,,340
,#N/A,154,MrBiz,800,13,,20,46,92,85,56,55,,,15,48,80,110,25,,188,134,,
,,155,Xterm,795,5,115,200,200,150,130,,,,,,,,,,,,,,
,#N/A,156,Rajeev,789,9,210,34,,,,90,,,64,135,,,200,25,,31,10,,
,,157,Firedart,787,18,130,47,43,26,46,90,49,56,64,180,105,70,62,25,10,3,86,45,
,,158,Amorin,785,8,140,,,,,55,56,102,185,,,,,45,,44,158,,
,,159,ChipsAhoya,773,17,115,46,52,69,40,90,64,55,42,55,70,110,100,150,,41,69,21,
,,160,FenPlays,772,14,170,27,34,52,59,,,,,52,60,70,95,45,10,154,102,62,
,,161,Jonny125,768,17,210,52,92,80,59,35,35,56,76,70,52,80,80,25,10,80,,62,
,#N/A,162,HeirOfValyria,759,10,140,,,,,64,102,90,102,80,90,75,80,45,,,,,
,,163,Rob_Stedman,753,11,140,92,105,85,75,55,35,42,56,,,,,25,,,,145,
,,164,Papaver,752,6,,140,85,165,150,,,,,,,,,,100,112,,,
,,165,Dragonite,751,13,170,52,43,34,69,55,56,76,64,,,,,,10,86,150,80,
,#N/A,166,discodancer,750,4,,170,170,230,,,,,,,,,,,180,,,,
,#N/A,167,Reenter73,747,5,210,,,,,102,185,160,90,,,,,,,,,,
,#N/A,167,Watlersen,747,14,130,52,92,80,43,56,102,100,,70,55,95,75,25,,,,73,
,#N/A,169,syras,745,4,,,,,,,,,,150,135,200,260,,,,,,
,#N/A,170,Padishar,744,18,115,69,59,52,69,102,90,55,56,50,35,52,50,45,10,116,80,103,
,#N/A,171,GoblinMatron,734,10,140,34,92,85,80,,,,,,52,55,50,,180,,46,,
,,172,kenchan,731,16,170,47,92,75,92,76,76,49,42,75,75,50,48,25,10,,,25,
,,173,raist,729,18,115,52,92,75,59,30,42,27,20,95,100,105,88,10,40,56,59,27,
,,174,ElKhan,728,17,140,52,47,59,69,55,42,56,64,90,70,75,75,25,,66,61,143,
,#N/A,175,Arcee,721,10,,,,,,42,56,76,76,60,95,90,185,45,,,83,,
,#N/A,176,WowaduHek,715,5,,,,,,,,,,100,150,115,110,240,,,,,
,#N/A,177,Spence2102,714,15,95,69,43,34,52,49,56,64,76,90,80,50,39,150,,90,,,
,,178,MurphyAKL,710,18,115,52,43,46,52,76,49,42,35,75,55,130,115,10,40,23,87,57,
,,179,Gelato,705,13,95,,,,,76,100,55,42,110,75,70,75,25,,79,68,95,
,,180,Gudimundi,703,15,170,92,75,92,75,30,20,56,64,,50,60,60,,,36,75,48,
,,181,FCKAFD,700,1,700,,,,,,,,,,,,,,,,,,
,,181,Eske,700,1,700,,,,,,,,,,,,,,,,,,
,,181,Michiel,700,1,700,,,,,,,,,,,,,,,,,,
,#N/A,184,Beebs,694,12,,15,34,92,80,,,,,50,52,60,88,10,10,100,172,,
,,185,Skaiwalker,682,10,130,130,85,95,75,49,56,55,56,,,,,,40,,,,
,,186,flutter,680,16,170,69,69,80,47,42,56,76,76,55,60,55,80,45,10,,,40,
,,187,DavidSegoviano,677,18,140,34,69,52,59,56,55,42,56,52,47,32,35,45,40,180,62,48,
,,188,AndriiN,674,12,75,,,,,100,55,35,30,80,100,70,44,150,,37,,15,
,#N/A,189,LordPeter,669,7,140,92,95,105,125,,,,,52,60,,,,,,,,
