,,place,player,points,#,wrld,ic_32,ic_33,,,im_29,im_30,,,rl_07,rl_08,,,wmbl,aus,surv,ml,sl,qd
,,101,funnytortoise,717,7,115,140,95,,,90,102,,,,,,,150,,,115,,
,,102,ed_vins,712,11,140,46,95,,,90,102,,,90,130,,,,100,40,145,51,
,,103,Aranwar,711,7,,59,47,,,76,76,,,,,,,,300,80,,120,
,#N/A,104,LeonidasI,705,12,170,69,59,,,35,56,,,45,32,,,240,100,10,29,67,
,,105,GerionLannister,701,9,130,92,,,,49,,,,70,,,,150,10,10,13,210,
,,106,Lambda,700,2,,440,260,,,,,,,,,,,,,,,,
,,107,Masox,698,12,260,69,52,,,42,56,,,63,70,,,25,180,10,12,48,
,,108,LittleBob,689,7,,80,52,,,42,42,,,260,210,,,45,,,,,
,#N/A,109,Arcee,684,7,,,,,,76,76,,,90,185,,,45,,190,67,,
,,110,Kimmo,681,10,210,85,85,,,100,55,,,110,70,,,45,,,13,91,
,,111,RudyRunner666,680,5,,105,105,,,185,210,,,,,,,,,,,,75
,,112,Phalanxx,677,9,140,105,85,,,115,,,,125,,,,45,100,80,92,,
,,113,HCsquared,674,5,260,,92,,,102,100,,,,,,,,,120,,,
,,114,WanderingWolf,673,8,130,69,92,,,90,102,,,,,,,45,10,190,,,
,,115,belowfox,666,11,210,59,69,,,102,90,,,115,80,,,25,40,10,,68,
,,116,Wawrzyniec,652,2,470,,,,,,,,,,,,,,,,,182,
,#N/A,117,ciufile,646,10,210,40,46,,,100,102,,,60,80,,,,40,80,,74,
,,118,maxolino,637,7,130,69,92,,,64,102,,,,,,,,180,40,,,
,,119,Flackk,624,10,260,80,59,,,100,49,,,75,50,,,,10,10,,8,
,,120,DrRerNate,622,4,260,,,,,,,,,,,,,,40,190,,132,
,,121,Rob_Stedman,618,8,170,85,75,,,42,56,,,,,,,25,10,190,,,
,#N/A,122,Dread_84,615,9,260,92,95,,,42,64,,,,62,,,25,10,40,,,
,#N/A,123,bryanckh,612,9,260,,15,,,30,30,,,32,60,,,,40,190,10,,
,#N/A,124,Kesterer,610,3,260,,,,,,,,,,230,,,,,120,,,
,,125,ChipsAhoya,609,10,115,69,40,,,55,42,,,110,100,,,150,,,65,7,
,,126,CrownKiller,608,10,140,,,,,56,102,,,95,90,,,10,10,120,61,25,
,,127,fathope,607,9,115,75,69,,,102,115,,,95,100,,,25,,80,,,
,,128,wittr,604,11,140,59,40,,,56,49,,,75,50,,,25,10,40,,224,
,,129,virvett,603,8,140,47,43,,,55,56,,,190,115,,,,,10,,,
,#N/A,130,HeirOfValyria,602,7,210,,,,,90,102,,,75,80,,,45,10,,,,
,,131,roverandom,601,12,140,47,59,,,76,76,,,105,95,,,25,10,80,105,63,
,,132,FenPlays,596,9,170,52,59,,,,,,,70,95,,,45,,10,98,104,
,,133,Jaracz,595,4,260,,,,,,,,,,,,,45,100,190,,,
,#N/A,134,brunoerwin,587,8,115,95,80,,,64,102,,,,,,,,40,80,,115,
,,135,ChampDeGlace,581,9,170,69,52,,,42,42,,,100,70,,,,40,120,,,
,,136,SpartacusImperator,580,3,,280,260,,,,,,,,,,,,40,,,,
,,136,lhrljr,580,7,260,,,,,56,76,,,48,60,,,,40,80,,,
,,138,speedstone,576,8,130,,,,,56,100,,,80,60,,,150,10,10,,,
,,139,ElChupacabra,574,10,130,69,75,,,90,,,,90,,,,25,40,80,24,109,
,,140,borz.zrob,573,5,130,125,140,,,76,102,,,,,,,,,,,,
,,141,MindKillazz,571,8,115,,,,,100,55,,,130,105,,,45,,,66,14,
,,142,Magnetiseur,560,3,140,260,,,,,,,,,,,,,,,,,160
,,143,DiddleySquat,559,5,140,47,92,,,180,100,,,,,,,,,,,,
,,144,Nightvayne,552,9,95,92,95,,,140,90,,,28,28,,,,40,40,,,
,,145,Vangelisb,551,10,140,43,46,,,115,100,,,80,70,,,,10,40,,30,
,,146,CouchKing,550,10,115,125,105,,,56,49,,,,,,,45,10,80,69,34,
,,147,Gyphon,548,12,170,52,59,,,49,56,,,80,70,,,10,100,40,12,69,
,,148,MurphyAKL,546,12,140,46,52,,,42,35,,,130,115,,,10,10,40,63,10,
,#N/A,149,Watlersen,545,9,115,80,43,,,100,,,,95,75,,,25,40,80,,,
,,150,Obinger_Alphons,543,11,115,69,92,,,102,90,,,75,60,,,10,40,40,,64,
,#N/A,150,Rajeev,543,6,170,,,,,,64,,,,200,,,25,,,28,56,
