,,place,player,points,#,wrld,ic_24,ic_25,ic_26,ic_27,im_21,im_22,im_23,im_24,rl_01,rl_02,,snail,wmbl,aus,eif,ml,qd
,#N/A,89,WhateverParsley,1 090,9,220,125,130,165,170,23,,,,150,105,,,,,,,25
,,90,ElKhan,1 087,15,220,80,69,47,69,55,92,75,47,90,70,,110,,200,56,220,
,,91,Kimmo,1 084,14,140,92,80,92,105,85,55,92,85,130,125,,270,30,,130,,
,,92,darwinian,1 079,10,260,92,,165,130,27,46,92,125,85,130,,,,,,,
,,93,Sohoof,1 050,3,370,,,,,,,,,360,320,,,,,,,
,,94,funnytortoise,1 036,12,180,59,43,46,92,69,125,85,92,90,,,,,,180,192,
,,95,MindKillazz,1 027,10,220,,,,,92,165,140,100,100,100,,110,,50,,33,
,#N/A,96,jantteri,1 022,14,140,46,52,59,59,92,125,85,69,130,115,,125,,25,,210,
,#N/A,97,Lloydinspace100,1 021,10,220,59,92,80,92,69,69,47,27,,,,,,,340,,
,,98,ben0728,1 013,5,125,,,,,,,,,310,410,,,,50,,118,
,,99,Sjir,1 010,4,310,300,260,140,,,,,,,,,,,,,,
,,99,Rob_Stedman,1 010,14,180,140,125,140,85,47,46,55,69,100,80,,,60,10,160,,
,,101,HCsquared,1 009,11,180,69,165,130,80,140,75,69,75,,,,,,,85,154,
,,102,Thisisnotasmile,1 004,16,125,47,52,69,52,41,34,34,46,75,55,,75,10,200,105,300,
,#N/A,103,FoLKeN91,1 000,4,310,350,240,,,100,,,,,,,,,,,,
,,104,PlanarFreak,997,7,370,95,125,105,95,69,,,,,,,,,,,138,
,,105,Gavatron,992,9,260,59,,69,52,100,100,165,180,,,,,,,,59,
,,105,Jonny125,992,13,370,47,69,69,59,47,34,69,47,100,75,,110,,,130,,
,#N/A,107,jRune,977,6,220,165,140,165,200,,,,,87,,,,,,,,
,,108,LittleBob,975,14,125,75,92,125,165,125,100,100,125,110,100,,85,,25,,,40
,,109,GerisNezus,964,9,140,46,52,,,165,150,,165,,,,125,120,,,47,
,,110,Magesolo,957,17,140,75,40,30,46,55,92,75,41,115,70,,140,120,50,200,70,70
,,110,heisenberg_97,957,9,220,125,130,85,165,100,85,47,27,,,,,,,,,
,,112,FFAZ,955,10,125,30,34,92,75,165,140,100,,70,,,,,,,188,
,,113,Wawrzyniec,950,1,950,,,,,,,,,,,,,,,,,
,,113,mbbchess,950,1,950,,,,,,,,,,,,,,,,,
,,115,Turdle,947,12,125,92,105,165,200,125,85,47,46,,,,,10,,,38,50
,,116,Amorin,936,12,150,34,30,46,52,69,47,46,47,,,,273,250,,,48,
,,117,flutter,932,13,180,92,165,130,105,55,55,41,34,80,85,,95,30,,,,
,,118,gothark,913,10,220,,27,46,92,27,46,92,165,110,142,,,,,,,
,,119,Dragonite,907,11,370,52,69,92,75,,27,46,47,,,,,,10,70,132,
,,120,DrRerNate,905,4,310,,,,,,,150,125,,,,,,,,320,
,,121,maxolino,903,12,150,59,92,80,92,69,69,100,85,,,,,,10,108,196,
,,122,CouchKing,898,11,370,59,59,92,125,69,69,55,46,,,,,,25,41,,
,,123,Kay,893,11,240,46,69,125,125,69,69,75,55,105,85,,,,,,,
,,124,jezza101,888,9,,,27,46,92,,27,34,34,105,150,,,,400,,,
,,125,MartinW,879,13,220,52,52,52,52,75,69,55,55,75,100,,,,,,230,10
,#N/A,126,brunoerwin,877,10,180,85,105,105,125,46,92,100,85,,,,,,25,,,
,,127,raist,874,14,220,75,52,92,125,23,8,27,34,60,50,,,30,,46,200,
,,128,Dvale112,841,11,260,95,85,85,85,85,69,41,27,,,,,,25,77,,
,,129,Garri,840,16,50,52,59,92,105,85,92,75,47,100,70,,95,60,10,115,156,
,,129,GZ95,840,2,370,,,,,,,,,470,,,,,,,,
,,131,Dantes,835,3,650,,,,,,,,,75,110,,,,,,,
,,132,kenchan,827,16,140,47,47,47,92,34,34,69,69,75,60,,140,60,10,70,172,
,,133,fathope,825,11,240,105,105,95,95,55,41,34,46,65,65,,,,,,,
,,133,BoatyMcBoatface,825,9,150,130,85,105,105,,,,,100,90,,,60,25,,,
,,135,Magnetiseur,824,7,310,85,105,80,69,,55,,,,,,,,,,,120
,,136,fugg,818,12,180,69,80,,47,46,69,,27,80,100,,180,60,,18,,
,,137,speedstone,817,7,220,,,,,,,15,27,180,170,,180,,25,,,
,,138,LordMichael,816,11,90,23,46,59,52,125,125,85,,80,,,,,200,,41,
,,139,Binki,810,2,,470,,,,,,,,,,,,,,,,340
,,140,PhiTrigger,809,11,220,52,92,125,130,55,47,46,55,,,,,,25,80,,
,#N/A,141,Rhizom,807,8,220,46,59,43,34,,,,,75,80,,,,,250,,
,,142,Doobie,800,13,220,59,69,59,92,34,46,69,100,75,75,,,,100,,6,
