,,place,player,points,#,wrld,ic_24,ic_25,ic_26,ic_27,im_21,im_22,im_23,im_24,rl_01,rl_02,,snail,wmbl,aus,eif,ml,qd
,,1060,MikeyB,50,1,50,,,,,,,,,,,,,,,,,
,,1060,thundermain,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Bora_Horsa_Gobuchul,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Raq82,50,1,50,,,,,,,,,,,,,,,,,
,,1060,KingBilly,50,1,50,,,,,,,,,,,,,,,,,
,,1060,postalrat,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Mensha,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Bruce.Twarze,50,1,50,,,,,,,,,,,,,,,,,
,,1060,SatoruGojo,50,1,50,,,,,,,,,,,,,,,,,
,,1060,monsieurt,50,1,50,,,,,,,,,,,,,,,,,
,,1060,lzhon002,50,1,50,,,,,,,,,,,,,,,,,
,,1060,rrobby,50,1,50,,,,,,,,,,,,,,,,,
,,1060,ZappBranigan,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Goth444,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Togodomus,50,1,50,,,,,,,,,,,,,,,,,
,,1060,schumaky,50,1,50,,,,,,,,,,,,,,,,,
,,1060,DrDuff,50,1,50,,,,,,,,,,,,,,,,,
,,1060,danjoy72,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Holtykins,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Xela1988,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Drako,50,1,50,,,,,,,,,,,,,,,,,
,,1060,minzent,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Left-fire-egg,50,1,50,,,,,,,,,,,,,,,,,
,,1060,TuZhao,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Foxxx,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Nomade,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Oyvind,50,1,50,,,,,,,,,,,,,,,,,
,,1060,samlives,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Calamar,50,1,50,,,,,,,,,,,,,,,,,
,,1060,MechJayTi2,50,1,50,,,,,,,,,,,,,,,,,
,,1060,LeonardoDaVinci016,50,1,50,,,,,,,,,,,,,,,,,
,,1060,olawaco,50,1,50,,,,,,,,,,,,,,,,,
,,1060,RAKoS,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Adrianucho,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Titiman,50,1,50,,,,,,,,,,,,,,,,,
,,1060,OffDutyDad,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Blahu,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Vyzvejkanec,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Vaalna,50,1,50,,,,,,,,,,,,,,,,,
,,1060,LuisPerdomo,50,1,50,,,,,,,,,,,,,,,,,
,,1060,IndieErikJones,50,1,50,,,,,,,,,,,,,,,,,
,,1060,aramaic,50,1,50,,,,,,,,,,,,,,,,,
,,1060,IsleOfDick,50,1,50,,,,,,,,,,,,,,,,,
,,1060,JakubZGandalfova,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Stevenlan90,50,1,50,,,,,,,,,,,,,,,,,
,,1060,FRadar,50,1,50,,,,,,,,,,,,,,,,,
,,1060,thebigcheese,50,1,50,,,,,,,,,,,,,,,,,
,,1060,opk,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Badavan,50,1,50,,,,,,,,,,,,,,,,,
,,1060,RyGuy123,50,1,50,,,,,,,,,,,,,,,,,
,,1060,juancho1976,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Jakuu,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Oranim,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Judiot,50,1,50,,,,,,,,,,,,,,,,,
,,1060,PocketAmazing,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Samut,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Kestutelis,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Galten,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Der_Imperator,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Shalif,50,1,50,,,,,,,,,,,,,,,,,
,,1060,toptheworld,50,1,50,,,,,,,,,,,,,,,,,
,,1060,erlikhan,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Foujou,50,1,50,,,,,,,,,,,,,,,,,
,,1060,BlackSmyth,50,1,50,,,,,,,,,,,,,,,,,
,,1060,CrAzian18,50,1,50,,,,,,,,,,,,,,,,,
,,1060,dejwut,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Linsage,50,1,50,,,,,,,,,,,,,,,,,
,,1060,PeskyGekko,50,1,50,,,,,,,,,,,,,,,,,
,,1060,pandaczar,50,1,50,,,,,,,,,,,,,,,,,
,,1060,MBK,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Jmstoic,50,1,50,,,,,,,,,,,,,,,,,
,,1060,lppl,50,1,50,,,,,,,,,,,,,,,,,
,,1060,But,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Melonduck4000,50,1,50,,,,,,,,,,,,,,,,,
,,1060,AmazingMrHedge,50,1,50,,,,,,,,,,,,,,,,,
,,1060,midr,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Dharkan_Kaazar,50,1,50,,,,,,,,,,,,,,,,,
,,1060,cbend37,50,1,50,,,,,,,,,,,,,,,,,
,,1060,PennyOrange,50,1,50,,,,,,,,,,,,,,,,,
,,1060,James2at8,50,1,50,,,,,,,,,,,,,,,,,
,,1060,2da6,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Rivendell,50,1,50,,,,,,,,,,,,,,,,,
,,1060,norbetk,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Faustoguby,50,1,50,,,,,,,,,,,,,,,,,
,,1060,MP87,50,1,50,,,,,,,,,,,,,,,,,
,,1060,TheCenturion,50,1,50,,,,,,,,,,,,,,,,,
,,1060,vivimaster,50,1,50,,,,,,,,,,,,,,,,,
,,1060,pessen,50,1,50,,,,,,,,,,,,,,,,,
,,1060,timaeus,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Kradmesor,50,1,50,,,,,,,,,,,,,,,,,
,,1060,GAM3NURD,50,1,50,,,,,,,,,,,,,,,,,
,,1060,KYO,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Bonte,50,1,50,,,,,,,,,,,,,,,,,
,,1060,kwerra,50,1,50,,,,,,,,,,,,,,,,,
,,1060,marcelodadf,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Brumkalinka,50,1,50,,,,,,,,,,,,,,,,,
,,1060,ycl,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Grobir,50,1,50,,,,,,,,,,,,,,,,,
,,1060,SCN,50,1,50,,,,,,,,,,,,,,,,,
,,1060,denwiller,50,1,50,,,,,,,,,,,,,,,,,
,,1060,torang_ei,50,1,50,,,,,,,,,,,,,,,,,
,,1060,SargeGunz,50,1,50,,,,,,,,,,,,,,,,,
,,1060,youbib,50,1,50,,,,,,,,,,,,,,,,,
,,1060,gego,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Bushel,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Lint,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Tippin,50,1,50,,,,,,,,,,,,,,,,,
,,1060,fu1luo,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Fayebian,50,1,50,,,,,,,,,,,,,,,,,
,,1060,JamesH,50,1,50,,,,,,,,,,,,,,,,,
,,1060,Captain_Alex,50,1,50,,,,,,,,,,,,,,,,,
,,1178,Bonobours,49,3,,,,,,,,15,27,,,,,,,7,,
,,1178,Hysen,49,2,,,,,,,,,27,,22,,,,,,,
,,1178,WowaduHek,49,2,,,,,,,,,,22,27,,,,,,,
,,1178,al_boev,49,3,,,1,,,,,,,17,31,,,,,,,
,,1178,Joshweiss789,49,3,,,,,1,,,,,17,31,,,,,,,
,,1178,ruby_buby,49,2,,,,,,,,,15,,34,,,,,,,
,,1184,TheYoungDutch,48,4,20,,,,,,,,,6,19,,,,,3,,
,,1184,deleted_user_9275835,48,3,,,,,11,,,,15,,22,,,,,,,
,,1184,Gwyneraim,48,2,,,,,,,,,,17,31,,,,,,,
,,1184,gaitimes,48,2,,,,,,,,,,17,31,,,,,,,
,,1184,ysiad,48,2,,,,,,,,,,17,31,,,,,,,
,,1184,Eyswein,48,2,,,,,,,,,,12,36,,,,,,,
,,1184,CJcj,48,2,,,,,,,,,,12,36,,,,,,,
,,1191,runningnemo,47,2,,26,,,,21,,,,,,,,,,,,
,,1192,Nymphaea,46,4,20,,,4,20,2,,,,,,,,,,,,
,,1192,Tietzsche,46,3,20,,,,,,,,,4,22,,,,,,,
,,1192,deleted_user_9880390,46,3,,,15,,,8,23,,,,,,,,,,,
,,1192,mikemast,46,2,,,,,,,,,,22,24,,,,,,,
,,1192,PhamNuwen,46,3,,,,,,,4,15,27,,,,,,,,,
,,1197,Jived,45,3,20,,,,,,,,,6,19,,,,,,,
,,1197,wombats111,45,1,,,,,,,,,,,,,45,,,,,
,,1199,Romulus07,43,5,,,,,,,2,4,4,12,21,,,,,,,
,,1200,deleted_user_1946622,42,2,,,15,,,27,,,,,,,,,,,,
,,1200,moemoe,42,2,,,,,15,,,,27,,,,,,,,,
,,1202,jokerchai,41,1,,,,,,,,,,41,,,,,,,,
,,1203,JS619,39,9,20,1,2,,,2,4,4,4,1,2,,,,,,,
,,1203,Limdul1988,39,3,,20,,,15,,,,4,,,,,,,,,
,,1205,marialy,38,2,,,,,,,,15,23,,,,,,,,,
,,1205,Grandnewby,38,2,,,,,,,,15,23,,,,,,,,,
,,1205,Vovka,38,2,,,,,11,,,,27,,,,,,,,,
,,1208,michasz,37,5,,,,,,,2,4,4,6,21,,,,,,,
,,1208,nanoprince,37,2,,,,,,,,,15,,22,,,,,,,
,,1210,nchoong,35,4,,,,,,,4,4,,6,21,,,,,,,
,,1211,CuJ,34,3,20,,,,,,,,,2,12,,,,,,,
,,1211,Steak,34,1,,34,,,,,,,,,,,,,,,,
,,1211,Montu,34,1,,,,,,34,,,,,,,,,,,,
,,1211,zhenshide,34,1,,,,,,,,,,34,,,,,,,,
,,1211,Tandeta,34,1,,,,,,,,,,,34,,,,,,,
,,1216,Moskbnea,33,7,20,,,,,2,2,2,4,2,1,,,,,,,
,,1216,Tomo,33,4,20,2,1,,,,,,,,,,,,10,,,
,,1216,wheelerruss,33,9,20,1,1,1,1,2,2,4,2,,,,,,,,,
,,1219,lavasija,32,5,,20,,2,2,,,4,4,,,,,,,,,
,,1219,Seabrook,32,3,20,,,,2,,,,,,,,,,10,,,
,,1221,Abssalom,31,2,20,11,,,,,,,,,,,,,,,,
,,1221,Tutux,31,2,,,,,,23,,,,8,,,,,,,,
,,1223,FiveGee,30,4,,,,7,20,,,,,1,2,,,,,,,
,,1223,Althaj,30,3,20,,,,,,8,2,,,,,,,,,,
,,1223,Signor_Darcy,30,2,20,,,,,,,,,,,,,,10,,,
,,1223,Devonia,30,2,20,,,,,,,,,,,,,,10,,,
,,1223,Wicked_Liz,30,2,20,,,,,,,,,,,,,,10,,,
,,1223,jjmancini,30,2,20,,,,,,,,,,,,,10,,,,
,,1223,markosalaplaya,30,2,,,,,,,,,,22,8,,,,,,,
,,1223,aimo,30,1,,,,,,,,,,,,,,30,,,,
,,1223,AvPL,30,1,,,,,,,,,,,,,,30,,,,
,,1223,busti,30,1,,,,,,,,,,,,,,30,,,,
,,1223,Fourrier,30,1,,,,,,,,,,,,,,30,,,,
,,1223,hopek,30,1,,,,,,,,,,,,,,30,,,,
,,1223,Ritocito,30,1,,,,,,,,,,,,,,30,,,,
,,1223,sms18004,30,1,,,,,,,,,,,,,,30,,,,
,,1223,Turkuee,30,1,,,,,,,,,,,,,,30,,,,
,,1238,Franzy,29,3,20,,,,,,,,,1,8,,,,,,,
,,1238,Aardwolf44,29,1,,,,,,,,,,,,,,,,29,,
,,1240,Lara13,28,2,,,,1,,,27,,,,,,,,,,,
,,1241,firstfloorfinest,27,5,20,2,2,2,1,,,,,,,,,,,,,
,,1241,monorator,27,4,20,1,4,,,2,,,,,,,,,,,,
,,1241,backspace,27,2,,,,,,,,,,19,8,,,,,,,
,,1241,MrTriangle,27,2,,20,,,7,,,,,,,,,,,,,
,,1241,NerAlgert,27,2,,,,,,,,,,6,21,,,,,,,
,,1241,raymebeats,27,1,,,27,,,,,,,,,,,,,,,
,,1241,keizerCarel,27,1,,,,,27,,,,,,,,,,,,,
,,1241,GoodSentinel,27,1,,,,,,27,,,,,,,,,,,,
,,1241,Kristin,27,1,,,,,,27,,,,,,,,,,,,
,,1241,_Melkor,27,1,,,,,,27,,,,,,,,,,,,
,,1241,Sinkadus,27,1,,,,,,,27,,,,,,,,,,,
,,1241,jaggl,27,1,,,,,,,,,27,,,,,,,,,
,,1241,Lander90,27,1,,,,,,,,,27,,,,,,,,,
,,1241,Phalanxx,27,1,,,,,,,,,27,,,,,,,,,
,,1241,tnawrocki,27,1,,,,,,,,,27,,,,,,,,,
,,1241,Jelen117,27,1,,,,,,,,,27,,,,,,,,,
,,1241,vagrantil,27,1,,,,,,,,,27,,,,,,,,,
,,1241,Wanderlust,27,1,,,,,,,,,27,,,,,,,,,
,,1241,arthurlam90,27,1,,,,,,,,,27,,,,,,,,,
,,1260,ozzy666,26,3,20,,2,,,4,,,,,,,,,,,,
,,1260,szesophie,26,3,20,,,,,,,,,2,4,,,,,,,
,,1260,EKogon,26,2,,,,4,22,,,,,,,,,,,,,
,,1260,Hot.Cocoa,26,2,,,,,4,,,,,22,,,,,,,,
,,1264,eotta,25,2,,,,,,,,,,6,19,,,,,,,
,,1264,bedtimeformonkeys,25,1,,,,,,,,,,,,,,,25,,,
,,1264,Chaos,25,1,,,,,,,,,,,,,,,25,,,
,,1264,eLGi,25,1,,,,,,,,,,,,,,,25,,,
,,1264,OM_Para,25,1,,,,,,,,,,,,,,,25,,,
,,1269,KKluigi,24,2,,20,,,,4,,,,,,,,,,,,
,,1269,Millership,24,3,20,,,,,2,2,,,,,,,,,,,
,,1271,Stupidstupidrat,23,2,,,,,,,,,,4,19,,,,,,,
,,1271,Sopelek,23,3,20,,,,,,,,,2,1,,,,,,,
,,1273,tkornai,22,2,,,,,7,,,15,,,,,,,,,,
,,1273,DecMoon,22,3,20,1,1,,,,,,,,,,,,,,,
,,1273,Shobalk,22,1,,22,,,,,,,,,,,,,,,,
,,1273,Tings,22,1,,,,,,,,,,22,,,,,,,,
,,1273,xiaoduan,22,1,,,,,,,,,,22,,,,,,,,
,,1278,Pancake1,21,2,20,,,,,,,,,1,,,,,,,,
,,1279,Campanulas,20,7,,1,2,1,2,2,4,8,,,,,,,,,,
,,1279,Lindoro,20,3,,,,4,,,4,,,12,,,,,,,,
,,1279,Lordsmile,20,1,20,,,,,,,,,,,,,,,,,
,,1279,BoMa85,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Ronald1,20,1,20,,,,,,,,,,,,,,,,,
,,1279,pjorge,20,1,20,,,,,,,,,,,,,,,,,
,,1279,sjgardner3,20,1,20,,,,,,,,,,,,,,,,,
,,1279,mladodoc,20,1,20,,,,,,,,,,,,,,,,,
,,1279,ZeroMaximus,20,1,20,,,,,,,,,,,,,,,,,
,,1279,H4Y3K,20,1,20,,,,,,,,,,,,,,,,,
,,1279,pepinecko,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Srbak,20,1,20,,,,,,,,,,,,,,,,,
,,1279,ruben_san,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Math4u,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Marchely,20,1,20,,,,,,,,,,,,,,,,,
,,1279,pasin11,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Lnena,20,1,20,,,,,,,,,,,,,,,,,
,,1279,dudurban,20,1,20,,,,,,,,,,,,,,,,,
,,1279,ThonosP,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Clarinachos,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Majinbuu,20,1,20,,,,,,,,,,,,,,,,,
,,1279,TwoFold,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Jeff_Ffej,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Topalogy,20,1,20,,,,,,,,,,,,,,,,,
,,1279,popdragon,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Hengoroth,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Monken,20,1,20,,,,,,,,,,,,,,,,,
,,1279,JVCSC,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Galaxy_Rhino,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Sabastapul,20,1,20,,,,,,,,,,,,,,,,,
,,1279,saet1a,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Paajosh,20,1,20,,,,,,,,,,,,,,,,,
,,1279,gaberosser,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Faeyon,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Vortex1612,20,1,20,,,,,,,,,,,,,,,,,
,,1279,joejones,20,1,20,,,,,,,,,,,,,,,,,
,,1279,CeeJ,20,1,20,,,,,,,,,,,,,,,,,
,,1279,lauch,20,1,20,,,,,,,,,,,,,,,,,
,,1279,lingdianyike,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Mercury777,20,1,20,,,,,,,,,,,,,,,,,
,,1279,LavenderQueen,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Small_sips,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Dantes2180,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Vaibhavaiyar,20,1,20,,,,,,,,,,,,,,,,,
,,1279,captpirat,20,1,20,,,,,,,,,,,,,,,,,
,,1279,O.K.,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Cespac,20,1,20,,,,,,,,,,,,,,,,,
,,1279,dogrockbeeboy,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Gervais,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Rouming,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Phlegm,20,1,20,,,,,,,,,,,,,,,,,
,,1279,or0b0to,20,1,20,,,,,,,,,,,,,,,,,
,,1279,MartinCZE,20,1,20,,,,,,,,,,,,,,,,,
,,1279,GameTroll,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Simnel,20,1,20,,,,,,,,,,,,,,,,,
,,1279,FilipDabrowski,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Tapio,20,1,20,,,,,,,,,,,,,,,,,
,,1279,Friedthelt,20,1,20,,,,,,,,,,,,,,,,,
,,1279,deleted_user_7683175,20,1,20,,,,,,,,,,,,,,,,,
,,1338,alcardonac,19,4,,,,1,11,,,,,1,6,,,,,,,
,,1338,monkeyml,19,2,,,,,11,,,,8,,,,,,,,,
,,1338,ctcheung,19,3,,,,,15,,,2,2,,,,,,,,,
,,1341,NozoEli,17,1,,,,,,,,,,17,,,,,,,,
,,1341,mowangfeng,17,1,,,,,,,,,,17,,,,,,,,
,,1343,MarryMeVlaada,15,1,,15,,,,,,,,,,,,,,,,
,,1343,Gwindor,15,1,,15,,,,,,,,,,,,,,,,
,,1343,KwonJoonHo,15,1,,,15,,,,,,,,,,,,,,,
,,1343,DayWalker1337,15,1,,,,15,,,,,,,,,,,,,,
,,1343,FlyFelix,15,1,,,,,,15,,,,,,,,,,,,
,,1343,drodriguez,15,1,,,,,,,,,15,,,,,,,,,
,,1343,FCKAFD,15,1,,,,,,,,,15,,,,,,,,,
,,1343,Elin,15,1,,,,,,,,,15,,,,,,,,,
,,1343,Peperinni,15,1,,,,,,,,,,,,,,,,15,,
,,1352,Gaulamos,14,4,,,,,,2,8,2,2,,,,,,,,,
,,1352,PandaJJ,14,2,,,,,4,,,,,,,,,,10,,,
,,1352,Kozzie,14,2,,,,,,,2,,,12,,,,,,,,
,,1355,wisteria,11,2,,1,,,,,,,,,,,,10,,,,
,,1355,Richy_Doulares,11,1,,,11,,,,,,,,,,,,,,,
,,1355,ahowlin,11,1,,,11,,,,,,,,,,,,,,,
,,1355,Rimuel,11,1,,,,11,,,,,,,,,,,,,,
,,1355,Scar_702,11,1,,,,11,,,,,,,,,,,,,,
,,1355,DyziK,11,1,,,,,11,,,,,,,,,,,,,
,,1355,Elendil,11,1,,,,,11,,,,,,,,,,,,,
,,1362,captainparadise,10,2,,,,,,,,2,8,,,,,,,,,
,,1362,adi,10,1,,,,,,,,,,,,,,,10,,,
,,1362,borostar,10,1,,,,,,,,,,,,,,,10,,,
,,1362,Cisteoir,10,1,,,,,,,,,,,,,,,10,,,
,,1362,hbendeguz,10,1,,,,,,,,,,,,,,,10,,,
,,1362,Pietro,10,1,,,,,,,,,,,,,,,10,,,
,,1362,RodaxIII,10,1,,,,,,,,,,,,,,,10,,,
,,1362,sirivanhoe,10,1,,,,,,,,,,,,,,,10,,,
,,1362,StarLakeGuy,10,1,,,,,,,,,,,,,,,10,,,
,,1362,StefanGreatFirst,10,1,,,,,,,,,,,,,,,10,,,
,,1362,Tyrtaios,10,1,,,,,,,,,,,,,,,10,,,
,,1362,Urliam,10,1,,,,,,,,,,,,,,,10,,,
,,1362,arnbold,10,1,,,,,,,,,,,,,,10,,,,
,,1362,baodalaxin,10,1,,,,,,,,,,,,,,10,,,,
,,1362,bobis,10,1,,,,,,,,,,,,,,10,,,,
,,1362,Couchking,10,1,,,,,,,,,,,,,,10,,,,
,,1362,DustInMadness,10,1,,,,,,,,,,,,,,10,,,,
,,1362,Fyn,10,1,,,,,,,,,,,,,,10,,,,
,,1362,Garghi,10,1,,,,,,,,,,,,,,10,,,,
,,1362,LaoHuang,10,1,,,,,,,,,,,,,,10,,,,
,,1362,majortom111,10,1,,,,,,,,,,,,,,10,,,,
,,1362,miberale,10,1,,,,,,,,,,,,,,10,,,,
,,1362,Rivarama,10,1,,,,,,,,,,,,,,10,,,,
,,1362,sapiocek,10,1,,,,,,,,,,,,,,10,,,,
,,1362,tiesto,10,1,,,,,,,,,,,,,,10,,,,
,,1362,Ulysses,10,1,,,,,,,,,,,,,,10,,,,
,,1362,Ziokhan,10,1,,,,,,,,,,,,,,10,,,,
,,1389,Captn4wesome,9,4,,,,1,2,,2,,4,,,,,,,,,
,,1389,KingPerun,9,2,,,,2,7,,,,,,,,,,,,,
,,1391,DanielDose,8,2,,,,4,,,4,,,,,,,,,,,
,,1391,Atomtomate,8,2,,,,,,,,,,4,4,,,,,,,
,,1391,gusanitocruz,8,1,,,,,,,,,,,8,,,,,,,
,,1394,Stinus,7,1,,,,7,,,,,,,,,,,,,,
,,1394,Brandon12129,7,1,,7,,,,,,,,,,,,,,,,
,,1394,Tototrillion,7,1,,,,7,,,,,,,,,,,,,,
,,1394,Nevadar,7,1,,,,,7,,,,,,,,,,,,,
,,1398,Edge613,6,4,,2,1,1,2,,,,,,,,,,,,,
,,1398,halbsodoppelt,6,3,,,,,,,2,2,2,,,,,,,,,
,,1398,KingMomo,6,2,,,,,,,4,,,,2,,,,,,,
,,1398,DancingQuinn,6,1,,,,,,,,,,6,,,,,,,,
,,1398,Copocioff,6,1,,,,,,,,,,6,,,,,,,,
,,1403,DonStealth,5,1,,,,,,,,,,,,,,,,5,,
,,1404,Ivan04,4,1,,,,,,,,4,,,,,,,,,,
,,1404,theblender,4,1,,,,,,,4,,,,,,,,,,,
,,1404,Lookaszk,4,1,,,,,,,,4,,,,,,,,,,
,,1404,C3POsMidriff,4,1,,,,,,,,,4,,,,,,,,,
,,1404,Igrokratiya,4,1,,,,,,,,,4,,,,,,,,,
,,1404,GrafZahl,4,1,,,,,,,,,,,,,,,,4,,
,,1404,meeplematero,4,1,,,,,,,,,,,,,,,,4,,
,,1411,Hamtes,2,1,,2,,,,,,,,,,,,,,,,
,,1411,__Alex__,2,1,,,2,,,,,,,,,,,,,,,
,,1411,Rona_the_Terrible,2,1,,,2,,,,,,,,,,,,,,,
,,1411,Jusaz,2,1,,,,,2,,,,,,,,,,,,,
,,1411,ching_chong,2,1,,,,,,2,,,,,,,,,,,,
,,1411,Yahtzee12,2,1,,,,,,2,,,,,,,,,,,,
,,1411,deleted_user_9720913,2,1,,,,,,,2,,,,,,,,,,,
,,1411,lissi,2,1,,,,,,,2,,,,,,,,,,,
,,1411,Amadeus,2,1,,,,,,,2,,,,,,,,,,,
,,1411,Ado,2,1,,,,,,,,2,,,,,,,,,,
,,1411,transporter96,2,1,,,,,,,,2,,,,,,,,,,
,,1411,amit871,2,1,,,,,,,,2,,,,,,,,,,
,,1411,Chris10,2,1,,,,,,,,,2,,,,,,,,,
,,1411,switch201,2,1,,,,,,,,,2,,,,,,,,,
,,1411,Ronald,2,1,,,,,,,,,2,,,,,,,,,
,,1411,valvonauta,2,1,,,,,,,,,,2,,,,,,,,
,,1427,greatestdecade,1,1,,1,,,,,,,,,,,,,,,,
,,1427,Jonasmeister,1,1,,1,,,,,,,,,,,,,,,,
,,1427,issv,1,1,,,1,,,,,,,,,,,,,,,
,,1427,uhujb,1,1,,,1,,,,,,,,,,,,,,,
,,1427,thokk,1,1,,,,1,,,,,,,,,,,,,,
,,1427,Sonalator,1,1,,,,,1,,,,,,,,,,,,,
,,1427,AzzCark,1,1,,,,,1,,,,,,,,,,,,,
,,1427,boheg,1,1,,,,,,,,,,,1,,,,,,,
