,,place,player,points,#,wrld,ic_28,ic_29,ic_30,ic_31,im_25,im_26,im_27,im_28,rl_03,rl_04,rl_05,rl_06,wmbl,aus,sl,ml,eif,qd,ldrb,
,,939,Nanu,80,1,80,,,,,,,,,,,,,,,,,,,,
,,939,dburstin,80,1,80,,,,,,,,,,,,,,,,,,,,
,,939,Garhett,80,1,80,,,,,,,,,,,,,,,,,,,,
,,939,seyedempire,80,1,80,,,,,,,,,,,,,,,,,,,,
,,939,DanReyLop,80,1,80,,,,,,,,,,,,,,,,,,,,
,,939,fridaK,80,1,80,,,,,,,,,,,,,,,,,,,,
,,939,runningnemo,80,1,80,,,,,,,,,,,,,,,,,,,,
,,939,flacoforro,80,1,80,,,,,,,,,,,,,,,,,,,,
,,939,clickk,80,1,80,,,,,,,,,,,,,,,,,,,,
,,939,JohnDavie,80,1,80,,,,,,,,,,,,,,,,,,,,
,,939,Vali1590,80,1,80,,,,,,,,,,,,,,,,,,,,
,,939,Alebv,80,1,80,,,,,,,,,,,,,,,,,,,,
,,939,ginociccio,80,1,80,,,,,,,,,,,,,,,,,,,,
,,939,N0rBeer,80,1,80,,,,,,,,,,,,,,,,,,,,
,,939,JBloodski,80,1,80,,,,,,,,,,,,,,,,,,,,
,,939,Rhand,80,1,80,,,,,,,,,,,,,,,,,,,,
,,939,donperizoma,80,1,80,,,,,,,,,,,,,,,,,,,,
,,939,LMH,80,1,80,,,,,,,,,,,,,,,,,,,,
,,939,Mikael.S,80,1,80,,,,,,,,,,,,,,,,,,,,
,,939,nchenche,80,1,80,,,,,,,,,,,,,,,,,,,,
,,939,Gustavus_Adolphus,80,1,80,,,,,,,,,,,,,,,,,,,,
,,939,Stedam,80,1,80,,,,,,,,,,,,,,,,,,,,
,,985,NovusIgnis,79,5,20,22,,1,,6,,30,,,,,,,,,,,,,
,,986,Paracelso,78,2,75,3,,,,,,,,,,,,,,,,,,,
,,987,CarloPedersoli,76,1,,,,,,76,,,,,,,,,,,,,,,
,,987,Less5,76,8,45,,,1,1,,,,5,4,17,2,1,,,,,,,,
,,989,Klakla92th,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Levia,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Arinmir,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Bromios,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,kwojtasz,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,dulbbong,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Zathio,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,CrystalPete420,75,1,,,,,,,,,,75,,,,,,,,,,,
,,989,NapoleonB,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,florian629,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Midyat,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,samgreco,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Bravo,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,traskmania,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Tuisku,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Oranim,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Kestutelis,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,erlikhan,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,TheCenturion,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Repick,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,johnboy,75,4,20,,,,,,,,,,8,28,19,,,,,,,,
,,989,PhamNuwen,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Aardwolf44,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,collace,75,6,,,,10,20,,,6,20,,,2,17,,,,,,,,
,,989,Azerbaperro,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,honne,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,HeM99,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Rgjensen,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Kermitoos,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Opi,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,HerrBu,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,colepiechotta,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,cardboard,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,LinhVu,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,BillyPilgrim,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,JiriHosek,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,thegruffalo,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,JJsDad,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Chroso,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Prince2B,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,ouTlier,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,deandedean,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,DDD_D,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Olympia,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,J0hnny_Utah7,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Smilzo,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Voras,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Zero_1627,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Raasay,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Kunizial,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,DPRK,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,CainsAngel,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,rofler31337,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,ekatar,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Warpfield,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,A-Raw,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,rizor,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,18544415,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Devran,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,Perrary,75,1,75,,,,,,,,,,,,,,,,,,,,
,,989,quartersmostly,75,1,75,,,,,,,,,,,,,,,,,,,,
,,1050,tiagosilva,74,4,20,,6,22,26,,,,,,,,,,,,,,,,
,,1051,FuManchu,73,5,45,,,,,5,5,,,17,1,,,,,,,,,,
,,1051,Balan,73,3,,,,20,,,,,,15,38,,,,,,,,,,
,,1051,wahrlator,73,2,65,,,,,,,,,,8,,,,,,,,,,
,,1054,Snatser,72,3,,,,,,20,42,,,,,,,,10,,,,,,
,,1054,Thyrus,72,4,20,20,,,,27,5,,,,,,,,,,,,,,
,,1054,Slender,72,2,,,,,,30,42,,,,,,,,,,,,,,
,,1057,pigfans,71,1,,,,,,,,,,,,,,,,71,,,,,
,,1057,Moskbnea,71,10,20,,,,,5,6,6,5,17,2,1,1,,10,,,,,,
,,1057,stefano-prof,71,3,,,15,30,26,,,,,,,,,,,,,,,,
,,1060,Tharkis,69,1,,,69,,,,,,,,,,,,,,,,,,
,,1060,Seabrook,69,8,20,3,20,3,3,5,5,,,,,,,,10,,,,,,
,,1062,Jaja,68,5,45,,,,,6,5,6,6,,,,,,,,,,,,
,,1063,FSY,67,3,20,,,,,,,,,15,32,,,,,,,,,,
,,1063,Revan,67,2,55,,,,,,,,12,,,,,,,,,,,,
,,1065,Romulus07,66,4,55,,,,,5,,,5,1,,,,,,,,,,,
,,1065,Ivan04,66,2,65,,,1,,,,,,,,,,,,,,,,,
,,1067,Alfonsillo,65,3,20,,15,30,,,,,,,,,,,,,,,,,
,,1067,itsPG,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,sausagesky,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,Biggi86,65,2,45,,,,,,,,,20,,,,,,,,,,,
,,1067,Amarok,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,Brickmarck,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,salvor7,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,Mirceamsc1,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,Tenebrane,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,Ankaru,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,RobinTheDragon,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,mikey1nt,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,BlueCardinal,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,monsieurt,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,RAKoS,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,Brumkalinka,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,StefanGreatFirst,65,3,,,,,15,,,20,30,,,,,,,,,,,,
,,1067,MareTheEnlightened,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,Qirgi,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,babaganoosh,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,MikeLowrey,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,SirHorse,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,rem_Abaddon,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,MadNut86,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,pootify,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,Kuti,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,S.C.U.D.,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,Madivar,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,Scotty4s,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,footjoy39,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,Eduard69,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,Kirian,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,Raffaelus,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,Wyszek,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,PatPunisher,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,Keyadoria,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,mobeza,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,Dariusz,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1067,JimBryan,65,1,65,,,,,,,,,,,,,,,,,,,,
,,1106,GZ95,63,1,,,,,,,,,,,,,,,,63,,,,,
,,1106,Jurri,63,3,,,,,,,,20,,,,15,28,,,,,,,,
,,1106,ChunkySam,63,1,,,,,,,,,,,,,,,,,,63,,,
,,1109,Tietzsche,62,2,45,,,,,,,,,17,,,,,,,,,,,
,,1109,gusanitocruz,62,2,45,,,,,,,,,17,,,,,,,,,,,
,,1111,wheelerruss,61,7,20,3,20,3,,5,5,5,,,,,,,,,,,,,
,,1112,fantasyyu,60,1,,,,,,,,,,60,,,,,,,,,,,
,,1112,PandaJJ,60,2,,20,,,,,,,,,,,,,40,,,,,,
,,1114,CuteAnn,59,3,20,,,,,,,,,20,19,,,,,,,,,,
,,1114,GWItheUltimate,59,3,20,,,,,27,,,12,,,,,,,,,,,,
,,1116,Zazabuzao,57,3,,20,,15,22,,,,,,,,,,,,,,,,
,,1116,araknid,57,2,,,,,,,30,27,,,,,,,,,,,,,
,,1118,tongtong,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,TaoTeo,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,gwfalcon,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Bora_Horsa_Gobuchul,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Bruce.Twarze,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Nomade,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,olawaco,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,opk,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Der_Imperator,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,BlackSmyth,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,PeskyGekko,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,kwerra,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Devonia,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Marchely,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Sabastapul,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Paajosh,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,O.K.,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Friedthelt,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,yezebel,55,2,,,,,,,,20,35,,,,,,,,,,,,
,,1118,Serrapac,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Dolling,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Lohmann,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Trek,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Leonidas33,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Chenese,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Kecso,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,kackajoni,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,stanze,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,PortugueseBandit,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,maurice986,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,hsss,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Zielonus,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,GreatKingRat78,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,alban,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Warstoryteller,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Donkeroo,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Gramadancho,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,BadEagle,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,mkuz18,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Mighke,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Micha501,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Jbob2626,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,jes-terday,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Wing,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,CharlieFish,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Minkus,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Patelavache,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Broens,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,Execut0r,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,LordMichaelDerGrosse,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,OM_Para,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1118,janbandit,55,1,55,,,,,,,,,,,,,,,,,,,,
,,1170,Caracalla,54,3,20,,,,,12,,,,22,,,,,,,,,,,
,,1170,Ms.QTPi,54,4,,,,,,12,12,,,,8,22,,,,,,,,,
,,1172,grace,53,2,,,27,26,,,,,,,,,,,,,,,,,
,,1173,Saish,52,2,20,,,,,,,,,32,,,,,,,,,,,
,,1174,Igordol,51,4,20,,,,1,,,,20,,,,,10,,,,,,,
,,1174,Glamdring,51,4,20,20,,,,5,6,,,,,,,,,,,,,,
,,1174,kivirowei,51,2,45,,,,,,,,,,6,,,,,,,,,,
,,1177,SpillisWillis,50,2,45,,,,,,,5,,,,,,,,,,,,,
,,1178,Tasso,48,3,,,,10,26,,,12,,,,,,,,,,,,,
,,1178,DrWhom,48,2,,,,,,20,,,,,,,28,,,,,,,,
,,1178,zcx,48,1,,,,,,,,,,,,,48,,,,,,,,
,,1181,eaguirre,47,2,,,,,,20,27,,,,,,,,,,,,,,
,,1181,Alexo,47,1,,47,,,,,,,,,,,,,,,,,,,
,,1183,Monty1979,46,2,45,1,,,,,,,,,,,,,,,,,,,
,,1184,marcusesses1,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Rossonerix10x,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Raphi,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,IngussTT,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,nge,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Happykitten,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,szyszuniawiesz,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Jacko65,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Kazan,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Vlasy,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,lzhon002,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,schumaky,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Holtykins,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Xela1988,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Oyvind,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Jakuu,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Shalif,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,toptheworld,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,But,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,SCN,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,monorator,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,pjorge,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,sjgardner3,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,TwoFold,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Hengoroth,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Vaibhavaiyar,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,DonStealth,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,KingPerun,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Igrokratiya,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,SolPanda,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,SwedishFish,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,lengesses,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,SunTiger,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,JonJayJanyJanzn,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Gigot,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,reddog,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Proximo,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Gelsomiina,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,NicolasJavier,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,KaiMorten,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,kemal,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,cord_red,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,SpectralB4dger,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,qman,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,DrunkenPete,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Castanicus,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,ElArchitekto,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Apriori1,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,tbrofromspace,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,BlueJay,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,SunGodREI,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Dipac,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Ranger,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Malekith,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Durpan,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Axius9,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1184,Alain23,45,1,45,,,,,,,,,,,,,,,,,,,,
,,1241,Saph4ir,43,6,,,,3,1,,6,,,,,4,19,,10,,,,,,
,,1241,Michcio,43,2,,,,,,,,,20,,,,23,,,,,,,,
,,1243,FlyGon,42,2,,,,,20,,,,,,,,22,,,,,,,,
,,1244,Jmstoic,41,3,,,,1,10,,,,,,,,30,,,,,,,,
,,1245,MruczekW,40,1,,,,,,,,,,,,,,40,,,,,,,
,,1245,Miklos,40,1,,,,,,,,,,,,,,40,,,,,,,
,,1245,MattM,40,2,20,,,,20,,,,,,,,,,,,,,,,
,,1245,betweenworlds,40,2,20,20,,,,,,,,,,,,,,,,,,,
,,1245,FabioMP,40,2,20,20,,,,,,,,,,,,,,,,,,,
,,1245,Ado,40,1,,,,,,,,,,,,,,40,,,,,,,
,,1245,Naleeane,40,1,,,,,,,,,,,,,,40,,,,,,,
,,1245,Hunty93,40,1,,,40,,,,,,,,,,,,,,,,,,
,,1245,yangziduan,40,1,,,,,,,,,,,,,,,40,,,,,,
,,1245,stshow123,40,2,,,,,15,,,,,,,,25,,,,,,,,
,,1245,Depp,40,2,,,,,,,,,12,,,,28,,,,,,,,
,,1256,putih,38,1,,,,,,,,,,,,,38,,,,,,,,
,,1257,Archangel,36,2,,,,,,,,,,,,11,25,,,,,,,,
,,1258,jmcj,33,3,,,,,10,,,,6,,,,17,,,,,,,,
,,1259,backspace,32,1,,,,,,,,,,32,,,,,,,,,,,
,,1259,Macin,32,3,,,10,20,,,,,,,,2,,,,,,,,,
,,1259,Pudroe,32,1,,,,,,,,,,,,,32,,,,,,,,
,,1262,pote,30,1,,,,,,,,,30,,,,,,,,,,,,
,,1262,Megatron,30,1,,,,,,,,30,,,,,,,,,,,,,
,,1262,leothelion,30,1,,,,,,,30,,,,,,,,,,,,,,
,,1262,Jerry2017,30,1,,,,,,,,,,,30,,,,,,,,,,
,,1262,MoxNox,30,1,,,,,,,,,30,,,,,,,,,,,,
,,1262,Trond79,30,1,,,,,,,,,30,,,,,,,,,,,,
,,1262,bryanckh,30,1,,,,,,,,,30,,,,,,,,,,,,
,,1269,trojanrabbit,29,2,,,,6,23,,,,,,,,,,,,,,,,
,,1270,RodaxIII,28,4,,,1,,,12,5,,,,,,,10,,,,,,,
,,1271,Nymphaea,27,3,,,1,6,20,,,,,,,,,,,,,,,,
,,1271,PontiusPilatus,27,1,,,,,27,,,,,,,,,,,,,,,,
,,1271,Ilyanep,27,3,,,1,6,20,,,,,,,,,,,,,,,,
,,1271,Clarinachos,27,4,20,,3,3,1,,,,,,,,,,,,,,,,
,,1271,Paolol65,27,1,,,,,27,,,,,,,,,,,,,,,,
,,1271,Banderjax,27,1,,,,,27,,,,,,,,,,,,,,,,
,,1277,lavasija,26,2,,,,,,6,,20,,,,,,,,,,,,,
,,1278,SaMatra,25,1,,,,,,,,,,,,,,,,25,,,,,
,,1278,Stupidstupidrat,25,2,,,,,,,,,,3,22,,,,,,,,,,
,,1280,filgonfin,23,3,20,1,,,,,,,,2,,,,,,,,,,,
,,1280,PiotrekB,23,1,,23,,,,,,,,,,,,,,,,,,,
,,1280,Kelvinator,23,2,,3,20,,,,,,,,,,,,,,,,,,
,,1280,jandaron,23,2,20,,,,3,,,,,,,,,,,,,,,,
,,1284,marizee412,22,1,,22,,,,,,,,,,,,,,,,,,,
,,1284,torstenk,22,1,,22,,,,,,,,,,,,,,,,,,,
,,1286,Frank92,21,2,,,,10,,,,,,,,,11,,,,,,,,
,,1287,Alistxi,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,Traumatan,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,KindFortress,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,noobgo,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,Kvist,20,1,,,,,,,,20,,,,,,,,,,,,,
,,1287,sbronzisjhonson,20,1,,20,,,,,,,,,,,,,,,,,,,
,,1287,matti5215,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,Puren94,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,BlaueElise,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,Melingsguten,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,Stefan665,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,cultro,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,rstrack,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,Msandry,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,MATADORDELMAR,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,prozio,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,rrobby,20,1,,,,,,20,,,,,,,,,,,,,,,
,,1287,mariyka,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,deleted_user_9275835,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,SPEEDOWAGON,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,TuZhao,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,Titiman,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,OffDutyDad,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,thebigcheese,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,PennyOrange,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,Kradmesor,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,GAM3NURD,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,denwiller,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,szesophie,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,Gaulamos,20,4,,,,,,5,5,5,5,,,,,,,,,,,,
,,1287,pepinecko,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,Monken,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,Vortex1612,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,Gervais,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,Tapio,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,cymerdown,20,2,,15,,,,5,,,,,,,,,,,,,,,
,,1287,mysoli,20,1,,,,,,20,,,,,,,,,,,,,,,
,,1287,FulcrumActual,20,1,,,,,,,20,,,,,,,,,,,,,,
,,1287,Rako,20,2,,,,,,,,,,,,,,10,10,,,,,,
,,1287,KingMomo,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,Jusaz,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,bluecube,20,1,,,,,20,,,,,,,,,,,,,,,,
,,1287,Barnes,20,1,,,,,20,,,,,,,,,,,,,,,,
,,1287,Rasti,20,1,,,,,,,,,20,,,,,,,,,,,,
,,1287,Goldfinger_,20,1,,,,,,,,,20,,,,,,,,,,,,
,,1287,JackoKun,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,Levente1989,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,Decontest,20,1,20,,,,,,,,,,,,,,,,,,,,
,,1287,madmanmatt666,20,1,20,,,,,,,,,,,,,,,,,,,,
