Tournament,Date,Player1,Score1,Player2,Score2,Player3,Score3,Player4,Score4,Player_Count
French Open 2026 - group 113 game 1,2026-07-05,GrandHedgehog,253,CrownKiller,227,Trond79,178.0,Chris10,156.0,4
French Open 2026 - group 178 game 1,2026-07-05,TheYoungDutch,271,fathope,181,wartin,174.0,Dimitris,-4.0,4
French Open 2026 - group 54 game 1,2026-07-05,Brett13,284,JimmyLin,278,holy834,233.0,Xirf,197.0,4
French Open 2026 - group 74 game 1,2026-07-05,Sunmaster14_LV,234,Kartek,141,Vojvoda_Micko,139.0,BennyV,95.0,4
French Open 2026 - group 84 game 1,2026-07-05,rap2,248,akira215,199,mindphaser,197.0,Jolli,160.0,4
French Open 2026 - group 134 game 1,2026-07-06,daices,299,shohei,297,firlefanzer,294.0,EdWARlock,193.0,4
French Open 2026 - group 46 game 1,2026-07-07,TrilceAC,198,invalidName,176,Bookhouseboy,145.0,michasz,125.0,4
French Open 2026 - group 98 game 1,2026-07-08,Sylvain,239,prozio,180,vgiannog,135.0,Imiter,116.0,4
French Open 2026 - group 130 game 1,2026-07-09,Captn4wesome,287,Paajosh,214,Tuisku,197.0,TomaszW,-5.0,4
French Open 2026 - group 153 game 1,2026-07-09,zhangyuchen,301,TorbenOfHerpes,272,RoboKay314,259.0,sms18004,194.0,4
French Open 2026 - group 5 game 1,2026-07-09,Selya,329,daggsea,302,emifon90,266.0,Ilidur,266.0,4
French Open 2026 - group 15 game 1,2026-07-10,slinggtw,259,N4F,176,Gurhuntar,128.0,dellcan,-5.0,4
French Open 2026 - group 181 game 1,2026-07-10,jezza101,339,Vantablack,303,KorXo,229.0,Execut0r,174.0,4
French Open 2026 - group 115 game 1,2026-07-11,Daze,319,FabioMP,207,Nymphaea,189.0,wheelerruss,179.0,4
French Open 2026 - group 133 game 1,2026-07-11,Dumnac,301,NapoRules,239,TheCenturion,232.0,Chriiiss,224.0,4
French Open 2026 - group 91 game 1,2026-07-12,Sr-Manteca,238,Budde,220,Noa1,187.0,Seppel,-5.0,4
French Open 2026 - group 152 game 1,2026-07-13,MechJayTi2,229,jRune,194,Tyrtaios,151.0,sodalppargkppakee,148.0,4
French Open 2026 - group 62 game 1,2026-07-13,Lammoth,295,Wolfric,280,Ratsia,272.0,Pulpecja,265.0,4
French Open 2026 - group 93 game 1,2026-07-13,FrenkDeTank,256,AdumbusPrime,228,Pancake1,42.0,Igordol,-5.0,4
French Open 2026 - group 154 game 1,2026-07-14,Puren94,237,Gosho,217,lengesses,193.0,Castanicus,-5.0,4
French Open 2026 - group 104 game 1,2026-07-15,Dayvs,259,Trond79,239,collace,219.0,HRG,216.0,4
French Open 2026 - group 138 game 1,2026-07-15,LordMichael,257,albinsix,251,FabioFurious,142.0,Gigot,76.0,4
French Open 2026 - group 157 game 1,2026-07-15,spaceport,245,Radvan,222,J-dog,189.0,michasz,179.0,4
French Open 2026 - group 73 game 1,2026-07-15,Makt,357,Gubbstyv,302,Clarinachos,225.0,Arkadiussus,218.0,4
French Open 2026 - group 9 game 1,2026-07-16,Tomboy,186,EnozamaIV,184,Sellux,175.0,Jorrig,-4.0,4
